delta,theta,alpha,beta,gama,Color
1.17741201548,-0.338627660884,3.29545900401,-9.79033929538,16.1656643261,blue
1.60649226264,-0.567637191815,2.87452288382,-22.240508508,29.3541341243,blue
2.08595769291,-0.805972587911,2.11312611111,-25.4167919824,19.3916965872,blue
2.61667721246,-1.04555615559,1.04599988568,-19.0348118307,-4.90171183747,blue
3.19906029162,-1.27763632673,-0.254966874702,-6.75159220783,-22.6546784767,blue
3.83303956925,-1.49307697182,-1.68458626583,5.67540866156,-20.1934987827,blue
4.51807207664,-1.68265873646,-3.11247589079,13.0364684428,-2.92415932418,blue
5.25316039145,-1.83738226052,-4.39487752955,12.8927319037,11.6539437858,blue
6.03689069398,-1.94876807785,-5.38918631592,6.39491870993,11.9714656768,blue
6.86748172283,-2.00915130669,-5.96976557648,-2.56958095565,2.50847680838,blue
7.74283784229,-2.01196977485,-6.04330895688,-9.37426369529,-3.76454312925,blue
8.66060237398,-1.95204044197,-5.56185414763,-10.7830023528,-0.881533800523,blue
9.61821198204,-1.8258133727,-4.53163050927,-6.240345127,4.45586784825,blue
10.6129539785,-1.63159098422,-3.01631246316,2.14487340563,2.56825942185,blue
11.6420259685,-1.36970298408,-1.13390260748,10.7415171928,-6.46527522603,blue
12.7025956986,-1.04262965578,0.952759642072,16.029522655,-12.2367834207,blue
13.791858335,-0.655067746083,3.05107743494,15.9871222875,-6.22256612382,blue
14.9070872802,-0.213935493054,4.9578542488,10.711264391,7.52086677219,blue
16.0456729556,0.271683731231,6.48046083738,2.14183207986,15.7625915521,blue
17.2051403508,0.790654905515,7.45760924707,-6.86694190153,10.0479779586,blue
18.3831355607,1.32995645648,7.77733278258,-13.658444687,-4.23678245,blue
19.5773800962,1.87489980158,7.39016008015,-16.5906977837,-13.5216664729,blue
20.7856022202,2.40941582174,6.31608013464,-15.3093105435,-10.1046858156,blue
22.0054581018,2.91642170383,4.64453469074,-10.5517216121,0.632592135604,blue
23.234454001,3.37827546708,2.52731653521,-3.744376757,7.27612938809,blue
24.4698784321,3.77731725622,0.164910799763,3.38616974043,5.14905178018,blue
